Date,population,Gold price,Oil price,S&P index,GNI,Inflation,Realestate index,IT index
7/1/2021,332.03,1807.84,70.12,"4,363.71",23993.883,5.4,416.28,"14,672.68"
8/1/2021,332.18,1785.28,65.68,"4,454.21",23993.883,5.3,424.54,"15,259.24"
9/1/2021,332.29,1775.14,69.09,"4,445.54",23993.883,5.4,398.58,"14,448.58"
10/1/2021,332.39,1776.85,78.51,"4,460.71",24785.649,6.2,426.51,"15,498.39"
11/1/2021,332.49,1821.76,76.45,"4,667.39",24785.649,6.8,416.38,"15,537.69"
12/1/2021,332.59,1790.43,70.56,"4,674.77",24785.649,7,453.47,"15,644.97"
1/1/2022,332.66,1816.02,80.33,"4,573.82",25290.649,7.5,416.27,"14,239.88"
2/1/2022,332.67,1856.3,89.41,"4,435.98",25290.649,7.9,396.83,"13,751.40"
3/1/2022,332.74,1947.83,107.07,"4,391.27",25290.649,8.5,420.81,"14,220.52"
4/1/2022,332.87,1936.86,103.34,"4,391.30",25897.786,8.3,403.64,"12,334.64"
5/1/2022,333.00,1848.5,108.29,"4,040.36",25897.786,8.6,385.6,"12,081.39"
6/1/2022,333.13,1836.57,113.77,"3,898.95",25897.786,9.1,356.8,"11,028.74"
7/1/2022,333.29,1732.74,100.84,"3,911.73",26340.92,8.5,388.12,"12,390.69"
8/1/2022,333.46,1764.56,93.76,"4,158.56",26340.92,8.3,365.28,"11,816.20"
9/1/2022,333.64,1680.78,84.62,"3,850.52",26340.92,8.2,317.01,"10,575.62"
10/1/2022,333.81,1664.45,86.61,"3,726.05",26383.752,7.7,326.46,"10,988.15"
11/1/2022,333.97,1725.07,84.43,"3,917.49",26383.752,7.1,346.51,"11,468.00"
12/1/2022,334.11,1797.55,76.45,"3,912.38",26383.752,6.5,327.76,"10,466.48"
1/1/2023,334.23,1897.71,75.71,"3,960.66",26644.353,6.4,360.2,"11,584.55"
2/1/2023,334.33,1854.54,74.32,"4,079.68",26644.353,6,338.1,"11,455.54"
3/1/2023,334.44,1912.73,72.09,"3,968.56",26644.353,5,329.7,"12,221.91"
4/1/2023,334.57,1999.77,77.22,"4,121.47",26798.82,4.9,332.15,"12,226.58"
5/1/2023,334.69,1992.13,70.14,"4,146.17",26798.82,4,318.38,"12,935.28"
6/1/2023,334.83,1942.9,68.58,"4,345.37,26798.82,3,334.21,"13,787.92"
7/1/2023,334.99,1951.02,74.05,4508.08,27133.712,3.2,339.81,"14,346.02"
8/1/2023,335.16,1918.7,79.78,4426.24,27133.712,3.7,328.75,"14,034.97"
9/1/2023,335.34,1915.95,87.96,4409.10,27133.712,3.7,302.72,"13,219.32"
10/1/2023,335.51,1916.25,84.65,4258.98,27562.786,3.2,291.38,"12,851.24"
11/1/2023,335.66,1984.11,77.45,4460.06,27562.786,3.1,326.66,"14,226.22"
12/1/2023,335.80,2026.18,71,4685.05",27562.786,3.4,353.42,"15,011.35"
